id,name,quantity,buy_date,buy_price,expiration_date,sell_date,sell_price
1,Apples,200,2024-05-01,0.50,2024-06-01,2024-05-05,0.70
2,Bananas,150,2024-05-02,0.30,2024-05-15,2024-05-07,0.50
3,Carrots,300,2024-05-01,0.25,2024-06-10,2024-05-10,0.35
4,Chicken Breast,100,2024-05-03,5.00,2024-05-20,2024-05-08,6.00
5,Whole Milk,50,2024-05-01,1.50,2024-05-30,2024-05-05,2.00
6,Eggs,80,2024-05-02,2.00,2024-06-15,2024-05-09,3.00
7,Bread,60,2024-05-03,1.00,2024-05-10,2024-05-06,1.50
8,Butter,40,2024-05-01,2.50,2024-08-01,2024-05-10,3.50
9,Cheese,70,2024-05-02,3.00,2024-06-20,2024-05-11,4.00
10,Orange Juice,90,2024-05-01,2.00,2024-06-01,2024-05-07,2.50
11,Pasta,120,2024-05-02,1.00,2024-12-01,2024-05-12,1.50
12,Tomato Sauce,110,2024-05-01,1.50,2024-11-01,2024-05-10,2.00
13,Rice,130,2024-05-02,0.75,2025-05-01,2024-05-11,1.00
14,Potatoes,220,2024-05-03,0.20,2024-06-15,2024-05-09,0.30
15,Cereal,85,2024-05-01,2.00,2024-11-01,2024-05-10,2.50
16,Yogurt,55,2024-05-02,0.50,2024-05-25,2024-05-08,0.75
17,Coffee,45,2024-05-01,5.00,2025-05-01,2024-05-11,6.00
18,Tea,60,2024-05-02,3.00,2025-05-01,2024-05-12,4.00
19,Sugar,100,2024-05-01,0.80,2025-05-01,2024-05-11,1.20
20,Flour,75,2024-05-02,1.00,2025-05-01,2024-05-13,1.50
21,Peanut Butter,35,2024-05-01,2.50,2025-05-01,2024-05-14,3.00
22,Jelly,30,2024-05-02,2.00,2025-05-01,2024-05-12,2.50
23,Salmon,25,2024-05-03,10.00,2024-05-15,2024-05-08,12.00
24,Tuna,20,2024-05-01,1.50,2025-05-01,2024-05-10,2.00
25,Beef,60,2024-05-02,7.00,2024-05-20,Expired,Expired
