id,name,buy_price,sell_price,quantity,buy_date,expiration_date,sell_date
1,Apples,0.50,0.70,170,2024-05-01,2024-06-01,2024-05-05
2,Bananas,0.30,0.50,80,2024-05-02,2024-05-15,2024-05-07
3,Carrots,0.25,0.35,300,2024-05-01,2024-06-10,2024-05-10
4,Chicken Breast,5.00,6.00,100,2024-05-03,2024-05-20,2024-05-08
5,Whole Milk,1.50,2.00,50,2024-05-01,2024-05-30,2024-05-05
6,Eggs,2.00,3.00,80,2024-05-02,2024-06-15,2024-05-09
7,Bread,1.00,1.50,60,2024-05-03,2024-05-10,2024-05-06
8,Butter,2.50,3.50,40,2024-05-01,2024-08-01,2024-05-10
9,Cheese,3.00,4.00,70,2024-05-02,2024-06-20,2024-05-11
10,Orange Juice,2.00,2.50,0,2024-05-01,2024-06-01,2024-05-07
11,Pasta,1.00,1.50,120,2024-05-02,2024-12-01,2024-05-12
12,Tomato Sauce,1.50,2.00,110,2024-05-01,2024-11-01,2024-05-10
13,Rice,0.75,1.00,130,2024-05-02,2025-05-01,2024-05-11
14,Potatoes,0.20,0.30,220,2024-05-03,2024-06-15,2024-05-09
15,Cereal,2.00,2.50,85,2024-05-01,2024-11-01,2024-05-10
16,Yogurt,0.50,0.75,55,2024-05-02,2024-05-25,2024-05-08
17,Coffee,5.00,6.00,45,2024-05-01,2025-05-01,2024-05-11
18,Tea,3.00,4.00,60,2024-05-02,2025-05-01,2024-05-12
19,Sugar,0.80,1.20,100,2024-05-01,2025-05-01,2024-05-11
20,Flour,1.00,1.50,75,2024-05-02,2025-05-01,2024-05-13
21,Peanut Butter,2.50,3.00,35,2024-05-01,2025-05-01,2024-05-14
22,Jelly,2.00,2.50,30,2024-05-02,2025-05-01,2024-05-12
23,Salmon,10.00,12.00,25,2024-05-03,2024-05-15,2024-05-08
24,Tuna,1.50,2.00,20,2024-05-01,2025-05-01,2024-05-10
25,Beef,7.00,17.00,45,2024-05-02,2024-05-20,Expired
26,Product A,8.0,,50,2024-07-19,2025-07-19,
